epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,1961.18,1.31927,1.23406,1.65945,0.75769,0.76462,0.83078,0.43868,0.45528,1.57465,1.10672,1.87913,0.0005182,0.0005182,0.0005182
148,1973.7,1.32529,1.21762,1.65851,0.64115,0.73648,0.76307,0.49717,0.45851,1.56691,1.09261,1.87331,0.0005149,0.0005149,0.0005149
149,1988.81,1.32899,1.22328,1.6553,0.74604,0.76462,0.80022,0.48174,0.46302,1.54897,1.07104,1.89873,0.0005116,0.0005116,0.0005116
150,2003.36,1.30972,1.22149,1.64323,0.71613,0.7054,0.76788,0.51086,0.47533,1.49568,1.00541,1.84275,0.0005083,0.0005083,0.0005083
151,2018.92,1.3235,1.23139,1.65637,0.68979,0.7461,0.76246,0.51957,0.46235,1.52968,1.11718,1.8285,0.000505,0.000505,0.000505
152,2034.37,1.31363,1.2449,1.65526,0.77405,0.73197,0.77079,0.52029,0.45103,1.51042,1.13656,1.86507,0.0005017,0.0005017,0.0005017
153,2049.74,1.30039,1.21213,1.64323,0.64097,0.77202,0.74752,0.47549,0.44439,1.52895,1.10701,1.84619,0.0004984,0.0004984,0.0004984
154,2063.71,1.33112,1.22575,1.66529,0.69159,0.7461,0.74242,0.48026,0.44636,1.53781,1.1044,1.86458,0.0004951,0.0004951,0.0004951
155,2077.25,1.31787,1.22712,1.6541,0.72539,0.72287,0.75025,0.5063,0.44849,1.57866,1.04161,1.87011,0.0004918,0.0004918,0.0004918
156,2090.79,1.2969,1.19663,1.63479,0.72764,0.73946,0.77715,0.4577,0.44915,1.54628,1.12822,1.84927,0.0004885,0.0004885,0.0004885
157,2107.19,1.30268,1.20086,1.64009,0.81882,0.67535,0.77135,0.40829,0.43889,1.6423,1.11562,1.89111,0.0004852,0.0004852,0.0004852
158,2123.59,1.32192,1.22471,1.64963,0.66711,0.77923,0.75174,0.45022,0.4244,1.58719,1.0614,1.90297,0.0004819,0.0004819,0.0004819
159,2139.87,1.31246,1.20803,1.64239,0.71189,0.77333,0.77423,0.48431,0.45268,1.5468,1.11107,1.8269,0.0004786,0.0004786,0.0004786
160,2156.89,1.30276,1.20383,1.64902,0.70561,0.7598,0.78768,0.50007,0.45565,1.60302,1.06092,1.88844,0.0004753,0.0004753,0.0004753
161,2173.34,1.28601,1.19874,1.63046,0.70041,0.76642,0.76018,0.4598,0.43122,1.5934,1.08305,1.90267,0.000472,0.000472,0.000472
162,2187.73,1.31257,1.22041,1.64384,0.65948,0.77451,0.76947,0.52533,0.46842,1.57412,1.02937,1.89298,0.0004687,0.0004687,0.0004687
163,2200.93,1.30452,1.19657,1.63728,0.67493,0.7461,0.71352,0.41711,0.40175,1.70926,1.13881,1.99328,0.0004654,0.0004654,0.0004654
164,2213.7,1.30103,1.20814,1.63837,0.69973,0.72906,0.75501,0.49579,0.46038,1.5012,1.14418,1.8189,0.0004621,0.0004621,0.0004621
165,2225.84,1.30192,1.20563,1.63968,0.67623,0.72443,0.75335,0.47846,0.44848,1.60493,1.09373,1.91706,0.0004588,0.0004588,0.0004588
166,2238.65,1.30866,1.19568,1.64119,0.74219,0.78138,0.77863,0.47956,0.44744,1.51115,1.09569,1.82266,0.0004555,0.0004555,0.0004555
167,2251.79,1.30132,1.19949,1.6396,0.7503,0.74602,0.74926,0.45327,0.43671,1.58536,1.14943,1.86555,0.0004522,0.0004522,0.0004522
168,2265.69,1.30174,1.19186,1.6365,0.74265,0.76462,0.7566,0.493,0.45611,1.52151,1.13167,1.83644,0.0004489,0.0004489,0.0004489
